"name","code","lifeExp","meanSchool","gniPerCap","homicide","internetUser","genderInequality","predPopGrowth","medAge","GDPGrowth"
"Norway","NOR",81.3,12.6,48688,0.6,93.3,0.065,0.12,38.7,0.0683797612
"Australia","AUS",82,12,34340,1,75.9,0.115,0.2139737991,36.9,0.1646832755
"United States","USA",78.7,13.3,43480,4.2,74.2,0.256,0.1453451552,36.9,0.0743709698
"Netherlands","NLD",80.8,11.6,37282,1.1,90.7,0.045,0.0359281437,40.7,0.1056662017
"Germany","DEU",80.6,12.2,35431,0.8,82.5,0.075,-0.0304878049,44.3,0.1366096772
"New Zealand","NZL",80.8,12.5,24358,0.9,83,0.164,0.1555555556,36.6,0.112415957
"Ireland","IRL",80.7,11.6,28671,1.2,69.8,0.121,0.1739130435,34.7,0.0662996649
"Sweden","SWE",81.6,11.7,36143,1,90,0.055,0.0947368421,40.7,0.202539029
"Switzerland","CHE",82.5,11,40527,0.7,82.2,0.057,0.0519480519,41.4,0.0940857892
"Japan","JPN",83.6,11.6,32545,0.4,77.6,0.131,-0.0490506329,44.7,0.0613036104
"Canada","CAN",81.1,12.3,35369,1.6,81.3,0.119,0.1469740634,39.9,0.1007489136
"Korea (Republic of)","KOR",80.7,11.6,28231,2.6,82.5,0.153,0.0349794239,37.9,0.4704217832
"Iceland","ISL",81.9,10.4,29176,0.3,95.6,0.089,0.3333333333,34.8,0.1255524307
"Denmark","DNK",79,11.4,33518,0.9,88.8,0.057,0.0535714286,40.6,0.0235680662
"Israel","ISR",81.9,11.9,26224,2.1,65.4,0.144,0.2727272727,30.1,0.1510791367
"Belgium","BEL",80,10.9,33429,1.7,73.7,0.098,0.037037037,41.2,0.0897756431
"Austria","AUT",81,10.8,36438,0.6,72.7,0.102,0.0238095238,41.8,0.1440395267
"Singapore","SGP",81.2,10.1,52613,0.3,71.1,0.101,0.1320754717,37.6,0.4079552321
"France","FRA",81.7,10.6,30277,1.1,77.5,0.083,0.0787401575,39.9,0.0570365119
"Finland","FIN",80.1,10.3,32510,2.2,86.9,0.075,0.037037037,42,0.180038781
"Slovenia","SVN",79.5,11.7,23999,0.7,69.3,0.08,0.05,41.7,0.2631286047
"Spain","ESP",81.6,10.4,25947,0.8,65.8,0.103,0.0683760684,40.1,0.0761919911
"Italy","ITA",82,10.1,26158,0.9,53.7,0.094,-0.0016393443,43.2,-0.0233791536
"Luxembourg","LUX",80.1,10.1,48285,2.5,90.1,0.149,0.2,38.9,0.121157531
"United Kingdom","GBR",80.3,9.4,32538,1.2,84.7,0.205,0.1035031847,39.8,0.1176349119
"Czech Republic","CZE",77.8,12.3,22067,1.7,68.6,0.122,0.0188679245,39.4,0.3821002249
"Greece","GRC",80,10.1,20511,1.5,44.6,0.136,0.0175438596,41.4,0.1103017178
"Cyprus","CYP",79.8,9.8,23825,1.7,53,0.134,0.1818181818,34.2,0.1457416857
"Malta","MLT",79.8,9.9,21184,1,63.1,0.236,0,39.5,0.0805974355
"Estonia","EST",75,12,17402,5.2,74.2,0.158,0,39.7,0.5534613046
"Slovakia","SVK",75.6,11.6,19696,1.5,79.9,0.171,0,36.9,0.6310702499
"Qatar","QAT",78.5,7.3,87478,0.9,81.6,0.546,0.2631578947,31.6,0.2029647226
"Hungary","HUN",74.6,11.7,16088,1.3,65.2,0.256,-0.0303030303,39.8,0.2648091268
"Barbados","BRB",77,9.3,17308,11.3,70,0.343,0,37.5,-0.0336707746
"Poland","POL",76.3,10,17776,1.1,62.5,0.14,-0.0130548303,38,0.5389262316
"Chile","CHL",79.3,9.7,14987,3.2,45,0.36,0.1206896552,32.1,0.3847130293
"Lithuania","LTU",72.5,10.9,16858,6.6,62.8,0.157,-0.0606060606,39.3,0.7731666316
"United Arab Emirates","ARE",76.7,8.9,42716,0.8,78,0.241,0.2962962963,30.1,-0.3877500796
"Portugal","PRT",79.7,7.7,19907,1.2,51.3,0.114,-0.0373831776,41,0.0076577641
"Latvia","LVA",73.6,11.5,14724,3.1,71.5,0.216,-0.0454545455,40.2,0.6148434752
"Argentina","ARG",76.1,9.3,15347,3.4,36,0.38,0.1386861314,30.4,0.5075860727
"Croatia","HRV",76.8,9.8,15419,1.4,60.1,0.179,-0.0454545455,41.5,0.3064424865
"Bahrain","BHR",75.2,9.4,19154,0.6,55,0.258,0.2142857143,30.1,-0.100354042
"Bahamas","BHS",75.9,8.5,27401,27.4,43,0.316,0,30.9,-0.0842791361
"Uruguay","URY",77.2,8.5,13333,5.9,47.9,0.367,0.0588235294,33.7,0.3856800916
"Kuwait","KWT",74.7,6.1,52793,2.2,38.3,0.274,0.3793103448,28.2,0.2496415444
"Russian Federation","RUS",69.1,11.7,14461,10.2,43.4,0.312,-0.0441485634,37.9,0.7192615813
"Romania","ROU",74.2,10.4,11011,2,40,0.327,-0.0514018692,38.5,0.594764551
"Bulgaria","BGR",73.6,10.6,11474,2,46,0.219,-0.1216216216,41.6,0.6576285473
"Saudi Arabia","SAU",74.1,7.8,22616,1,41,0.682,0.3414634146,25.9,0.0545740859
