"name","code","euro"
"Norway","NOR","YES"
"Netherlands","NLD","YES"
"Germany","DEU","YES"
"Ireland","IRL","YES"
"Sweden","SWE","YES"
"Switzerland","CHE","YES"
"Denmark","DNK","YES"
"Belgium","BEL","YES"
"Austria","AUT","YES"
"France","FRA","YES"
"Finland","FIN","YES"
"Slovenia","SVN","YES"
"Spain","ESP","YES"
"Liechtenstein","LIE","YES"
"Italy","ITA","YES"
"Luxembourg","LUX","YES"
"United Kingdom","GBR","YES"
"Czech Republic","CZE","YES"
"Greece","GRC","YES"
"Cyprus","CYP","YES"
"Malta","MLT","YES"
"Andorra","AND","YES"
"Estonia","EST","YES"
"Slovakia","SVK","YES"
"Hungary","HUN","YES"
"Poland","POL","YES"
"Lithuania","LTU","YES"
"Portugal","PRT","YES"
"Latvia","LVA","YES"
"Croatia","HRV","YES"
"Romania","ROU","YES"
"Bulgaria","BGR","YES"
